EventID,TrackID,px (MeV/c),py (MeV/c),pz (MeV/c)
0,60003,0.00562902,-0.0039003,0.00222605,0.00720094
0,60005,-0.00597773,-0.00342614,0.00218781,0.00722898
0,60007,-0.0251422,-0.0236424,-0.0438974,0.0558397
0,60008,0.00358082,0.00149617,0.00175394,0.00425877
0,60010,-0.00217547,-0.00929794,0.00750911,0.0121479
0,60012,0.00529737,0.00402963,0.0084218,0.0107344
0,60014,-0.00507587,0.00280327,-0.00196593,0.00612272
0,60015,0.00175583,0.00337218,0.0190438,0.0194196
0,60017,-0.00173052,0.00174988,0.0013751,0.00281916
0,60019,0.00372107,-0.00144415,0.00488317,0.00630693
0,60021,0.00136516,0.00565287,-0.00363506,0.00685801
0,60022,0.00968608,0.00559379,0.0125258,0.016793
0,60023,-0.00355488,0.00118214,0.00283629,0.00469885
0,60025,0.00716785,0.00260051,0.00430558,0.00875664
0,60027,0.0108562,0.00303561,-0.000523578,0.0112848
0,60029,-0.000358078,0.00250746,-0.000753379,0.00264256
0,60031,0.00154811,0.000927297,0.0042872,0.00465151
0,60033,0.00142938,0.00653018,0.00434668,0.00797371
0,60035,-0.000171816,-0.00509227,0.00359542,0.00623601
0,60037,-0.00602101,0.00867398,-0.00413289,0.0113389
0,60038,0.00831667,0.000830789,-0.00225801,0.0086577
0,60040,0.00821059,-0.00558201,-0.0092015,0.0135366
0,60042,-0.00467882,0.00457423,0.00604133,0.00890576
0,60044,-0.00205365,-0.000902323,-0.00208543,0.00306279
0,60046,0.0030053,0.00877133,-0.0036602,0.0099682
0,60047,-0.000950398,-0.00596269,-0.0041427,0.00732249
0,60049,-0.000654644,0.00202973,0.019446,0.0195626
0,60052,0.0113218,0.0220456,0.0140988,0.0285126
0,60053,0.00362735,-0.00357914,0.00475944,0.00697282
0,60055,0.000934313,0.000350386,-0.00253485,0.00272419
0,60056,0.00356417,-0.00276692,0.00377604,0.00588367
0,60058,0.000762092,-0.00596269,0.002114,0.00637208
0,60060,-0.00270054,0.00541122,-0.00188296,0.00633401
0,60061,-0.0132711,-0.00100606,0.0122211,0.0180691
0,60063,-0.00137763,0.00484712,-0.00149967,0.00525751
0,60064,-0.00763488,-0.0132781,-0.0170054,0.0228863
0,60066,-0.00304291,-0.00817216,-0.00225189,0.00900636
0,60068,0.00698878,-0.015247,0.0199003,0.0260257
0,60069,0.000993415,0.00158658,0.00196766,0.00271584
0,60071,-0.00811237,-0.00134572,0.00601593,0.0101889
0,60073,0.0132319,-0.000596266,0.00850118,0.0157388
0,60074,0.00505185,0.00381593,0.00516733,0.00817214
0,60076,0.00370945,0.00305248,0.00798703,0.00932042
0,60078,-0.00425505,0.00797017,0.00509585,0.0103729
0,60080,-0.00298285,0.00300071,0.000431172,0.00425294
0,60082,-0.00107804,0.00253389,-0.00241866,0.00366507
0,60084,0.00249329,-0.0109064,0.00121565,0.0112536
0,60086,0.000109567,-0.00321873,-0.000789467,0.00331595
0,60088,-0.000808339,-0.0427431,0.0169831,0.0460006
0,60089,0.00420639,-0.02327,-0.0254827,0.0347643
0,60090,0.00308143,0.00153365,0.000494333,0.0034773
0,60092,0.0400993,-0.00683667,0.0688234,0.0799459
0,60093,-0.0147898,0.0240186,0.00793562,0.029302
0,60094,0.0025373,-0.000502756,-0.00097275,0.00276349
0,60096,0.00804251,0.0155343,-0.000777013,0.01751
0,60097,-0.00717139,0.00309618,0.021955,0.0233032
0,60099,0.0022925,0.00284587,0.00126749,0.00386795
0,60101,-0.003378,0.00161028,0.00123498,0.00394069
0,60103,-0.00104318,0.00331546,0.0272385,0.0274594
0,60105,-0.0105166,-0.0434158,0.0759036,0.0880731
0,60107,-0.00789913,0.0335998,-0.00300673,0.0346465
0,60108,0.0690755,-0.0268384,0.0154372,0.075697
0,60110,0.00100814,-0.00033885,0.00373219,0.00388078
0,60112,0.00376202,0.00535566,0.0243746,0.0252381
0,60114,0.0686608,0.0283325,0.0364894,0.0827557
0,60115,-0.029165,0.0168556,-0.016771,0.0376294
0,60116,0.023867,-0.0294091,0.0355897,0.0519726
0,60117,0.0019914,-0.00278038,0.00964312,0.0102316
0,60119,0.0145661,0.0395319,0.0687889,0.0806651
0,60121,-0.00530267,0.00418118,0.0110169,0.0129218
0,60123,0.0005514,-0.000479775,-0.00424229,0.0043048
0,60124,-0.000488072,0.00776296,-0.00174891,0.00797248
0,60125,-0.0039896,-0.00731769,0.00596714,0.0102505
0,60127,0.00413821,0.00465414,0.00106402,0.00631807
0,60128,-0.0618196,0.014411,-0.0256734,0.0684723
0,60129,0.000383843,-0.00129407,0.00321702,0.00348872
0,60131,0.0452957,-0.0139907,-0.00650287,0.0478511
0,60134,-0.0165239,0.01152,0.0101075,0.0225369
0,60136,7.49068e-05,-0.00322749,0.00026217,0.00323898
0,60138,-0.00509894,0.00162988,0.00165715,0.00560373
0,60140,-0.0143736,-0.0126962,-0.0104272,0.0218293
0,60143,0.0027556,0.00180909,0.0166739,0.0169967
0,60145,-0.00746314,0.000249213,0.0226385,0.0238383
0,60147,-0.00949988,-0.00182227,0.00272568,0.0100498
0,60149,-0.00828232,0.00352373,0.000664405,0.00902524
0,60151,-0.00285362,0.00494058,-0.00372492,0.00681377
0,60152,-0.000276721,0.0049099,0.0140477,0.0148836
0,60154,-0.0071018,-0.00152812,0.0027718,0.00777519
0,60156,-0.000101239,-2.58696e-05,0.0038993,0.0039007
0,60158,-0.0105484,0.00521179,-0.00269698,0.0120708
0,60159,-0.000973582,0.00152912,0.0020463,0.00273376
0,60161,0.000334604,-0.00498776,-0.00254033,0.0056074
0,60163,0.00393335,0.00788595,0.0135729,0.0161828
0,60164,-0.00689025,0.0475486,0.0079827,0.0487039
0,60165,-0.000233337,0.0214112,-0.0228944,0.0313472
0,60166,0.00148579,-0.000682789,-0.00316457,0.00356206
0,60167,-0.00268827,-0.000420355,-0.00336393,0.0043266
0,60169,0.000231964,-0.00135728,0.00535545,0.00552964
0,60171,0.00331458,-0.000292871,0.00305529,0.00451741
0,60173,-0.00500637,0.00100907,0.00524254,0.00731889
0,60175,-0.00537887,0.000272984,0.00010947,0.00538691
0,60177,-0.00755868,0.0190738,0.022023,0.0300991
0,60181,-0.00252358,0.00660835,0.0133706,0.0151265
0,60183,-1.07778e-05,-0.000153316,0.00378849,0.0037916
0,60185,0.00236182,-0.00161957,0.00721297,0.00776068
0,60187,0.000370661,-0.00258931,-0.00365762,0.00449668
