EventID,TrackID,px (MeV/c),py (MeV/c),pz (MeV/c), energy (MeV)
0,30002,0.0842118,-0.0929968,0.0700062,0.143669
0,30004,0.0453984,-0.134194,0.0777618,0.161604
0,30006,-0.0623791,0.00955156,0.119503,0.135142
0,30008,0.0374202,-0.0811702,0.0966028,0.131609
0,30010,0.123258,-0.0441046,-0.0226688,0.132859
0,30012,0.0924726,-0.110044,0.0159365,0.14462
0,30014,-0.107724,0.0453507,0.0633138,0.132927
0,30017,0.0173539,0.172976,0.0140136,0.174408
0,30018,-0.0247905,-0.0818712,0.0889853,0.123434
0,30020,-0.112415,0.0464169,-0.0735567,0.142135
0,30021,0.105519,-0.0232328,0.0496763,0.11892
0,30023,0.0534863,-0.0849704,0.15827,0.187431
0,30025,-0.0759624,0.0091287,0.110021,0.134009
0,30027,0.0593576,-0.113644,0.0756081,0.148845
0,30029,-0.0216218,-0.0860871,-0.108796,0.140411
0,30030,0.102485,0.0217134,-0.0467215,0.114707
0,30031,-0.0830292,-0.0474395,-0.066115,0.116256
0,30032,-0.0473565,0.112391,0.0515674,0.132414
0,30033,0.0305942,0.0136258,0.154004,0.157604
0,30035,-0.0899486,-0.0891439,0.00325392,0.126681
0,30037,0.0305581,-0.10312,0.155398,0.188987
0,30039,-0.161017,0.0605219,0.0214476,0.173347
0,30040,0.0207118,0.0879284,-0.0696725,0.114082
0,30041,0.00737899,0.137162,-0.0590288,0.149507
0,30042,-0.162331,0.0507258,0.0654012,0.182214
0,30044,0.106641,-0.0502942,0.0600082,0.132298
0,30046,0.0713489,0.138268,0.0237259,0.15739
0,30047,-0.0735599,-0.0507434,-0.0862875,0.124224
0,30048,0.114733,0.0613682,0.0191838,0.131521
0,30049,0.0902883,-0.0230455,-0.074622,0.11938
0,30050,0.117193,-0.0352691,0.0839429,0.148407
0,30052,-0.145858,0.0293584,0.0576811,0.159574
0,30054,0.114894,0.0113069,0.0445206,0.123736
0,30057,0.0547823,0.119407,-0.0110962,0.131842
0,30058,0.0909397,0.0796864,0.00219543,0.120933
0,30059,0.114525,-0.0836745,0.0370048,0.146584
0,30061,0.105602,0.0805404,0.0453476,0.140338
0,30062,-0.0695756,-0.0451156,0.15502,0.175805
0,30064,-0.0426085,0.0426723,0.0888365,0.10737
0,30066,-0.0248633,-0.0634136,0.0927069,0.115039
0,30068,-0.0319755,-0.138935,-0.0932259,0.170342
0,30070,0.0743758,-0.00440538,0.164666,0.180737
0,30072,0.114562,-0.023804,0.0290898,0.120571
0,30074,-0.0828802,-0.0514053,-0.101076,0.140456
0,30075,0.0831,-0.0503687,0.116562,0.151754
0,30077,-0.0273217,0.0711995,0.140601,0.159951
0,30079,-0.0558953,0.0599372,0.154557,0.174942
0,30081,-0.128451,-0.00533816,0.044099,0.135915
0,30083,0.0324428,-0.102656,0.0482986,0.117998
0,30086,0.0125296,-0.0835041,0.109747,0.138471
0,30088,0.0203955,0.0776182,0.12028,0.144595
0,30090,-0.186125,0.0420937,0.00647744,0.190936
0,30091,0.0090118,0.00165845,0.130571,0.130892
0,30093,-0.0405182,-0.161027,0.0340997,0.169511
0,30095,0.0414242,0.179508,-0.0294487,0.186564
0,30096,0.0405626,0.0561065,0.112055,0.131718
0,30098,0.00183139,0.132942,-0.00620895,0.133099
0,30099,0.0137888,-0.17429,0.0176105,0.175719
0,30101,0.0716083,0.0770271,-0.0504189,0.116632
0,30102,0.0172409,-0.0534789,0.119791,0.132314
0,30104,-0.0770216,0.100891,0.0157388,0.127903
0,30105,0.0803439,0.0500409,0.123048,0.155242
0,30107,0.0861256,-0.0445359,0.0474024,0.107926
0,30109,-0.0622905,-0.045298,0.112127,0.136031
0,30111,-0.170523,-0.000713094,-0.073926,0.185859
0,30112,-0.00779812,-0.0671318,-0.0953677,0.116887
0,30113,-0.0545893,-0.114149,0.0889375,0.154661
0,30115,0.0135895,0.10837,-0.0179827,0.110689
0,30116,0.110648,-0.0578295,0.087434,0.152421
0,30118,0.0868944,0.0777268,0.00664367,0.116774
0,30120,0.0608153,-0.0116096,-0.0912685,0.110287
0,30121,0.108931,0.0522906,0.0647422,0.137083
0,30123,0.0651572,0.00998388,0.104081,0.123199
0,30125,-0.0950784,0.041506,0.0480492,0.11433
0,30127,0.060262,-0.0960809,0.0447242,0.121915
0,30129,0.0230571,0.0459384,0.0982608,0.110892
0,30131,0.145475,0.0720433,0.0489449,0.169555
0,30132,0.0266957,-0.110349,0.0952121,0.148172
0,30134,0.0764327,-0.0279573,0.070013,0.107356
0,30136,0.0256274,0.0932472,-0.0756727,0.122793
0,30137,-0.0648983,-0.00458096,0.122524,0.138726
0,30139,0.108041,-0.0188618,0.112159,0.15687
0,30141,-0.169735,-0.00823128,0.0823063,0.188817
0,30143,-0.12578,-0.0715632,0.00832681,0.144953
0,30145,0.145211,0.03567,-0.115526,0.188957
0,30146,0.0651737,-0.0211048,0.133286,0.14986
0,30148,0.0144957,-0.119547,0.0570262,0.133243
0,30150,0.00402653,-0.132344,0.0635351,0.14686
0,30152,-0.0115378,-0.116247,0.0205421,0.11861
0,30154,-0.0255856,-0.120469,0.0444594,0.130935
0,30156,0.0107701,-0.100441,-0.0826289,0.130507
0,30158,-0.0974553,-0.0626854,-0.0437268,0.123851
0,30160,-0.0593531,-0.0855951,0.0618516,0.12114
0,30162,-0.106326,-0.0312818,-0.0155078,0.111912
0,30164,0.130091,0.0590562,0.0400157,0.148366
0,30165,-0.16038,-0.00855892,0.0952667,0.186737
0,30167,-0.0776647,0.0463718,0.0700992,0.114438
0,30169,-0.068025,-0.0472749,-0.0833774,0.117533
0,30170,-0.0021838,0.0154499,0.123507,0.124489
0,30172,0.0209309,0.00397576,0.105894,0.108016
0,30174,-0.0928397,-0.00079358,-0.138765,0.166959
0,30175,0.0720243,-0.121966,-0.0296343,0.144711
0,30177,0.0487349,0.155046,-0.0647568,0.17495
0,30178,0.0992517,0.0412914,0.162698,0.195004
0,30180,-0.0393437,0.0954757,-0.0559172,0.117432
0,30181,-0.0333628,0.0846841,0.0669574,0.112995
0,30182,0.105202,-0.0532441,0.061966,0.1332
0,30184,0.000674828,-0.0164137,0.152669,0.15355
0,30186,0.0739645,0.00749741,0.0934691,0.11943
0,30188,-0.017386,-0.0900624,-0.0576376,0.108331
0,30190,-0.039392,0.12192,0.103077,0.164442
0,30191,-0.0194361,0.0859612,-0.0840114,0.121758
0,30192,0.0792618,0.131555,0.00131335,0.153593
0,30193,0.0506932,0.114736,-0.0307602,0.129152
0,30194,0.10173,0.0247949,-0.0221234,0.10702
